CD player | phr. | 激光唱机
several | adj. & pron. | 几个；若干
shelf | n. | 架子；搁板
already | adv. | 已经
used to | phr. | 过去常常
on | prep. | 关于
knowledge | n. | 知识；学问
yard | n. | 院子
put sth down | phr. | 把某物放下来
step | n. & v. | 脚步；走；踏入；踩
probably | adv. | 很可能；大概
pay | v. | 付钱；支付(过去式 paid)
pay for | phr. | 付钱；支付
come up with | phr. | 找到；提出(答案，办法)
mark | n. | 记号；标记；痕迹
think of | phr. | 想起
encourage | v. | 鼓励
get…back | phr. | 退还；送回去；取回
pick…up | phr. | 拾起；捡起
once | adv. | 一次
abroad | adv. | 到国外；在国外
copy | v. | 抄写
as | prep. | 作为
screen | n. | 屏幕
wave | n. | 浪；波浪
beach | n. | 海(河、湖)滩
have a try | phr. | 尝试；努力；射击
twice | adv. | 两次；两倍
none | pron. | 一个人也没有；没有任何东西
water-ski | v. | 做滑水运动
describe | v. | 描写；叙述
all over | phr. | 遍及
especially | adv. | 特别；尤其
attract | v. | 吸引
no matter | phr. | 不论
so-called | adj. | 所谓的
possible | adj. | 可能的
both…and… | phr. | 和...都
give up | phr. | 放弃
since | adv. & conj. | 此后；自..以来；由于，既然
ever since | phr. | 从那时起；此后一直
part-time | adj. & n. | 非全日工作的；业余时间
although | conj. | 虽然；尽管
fit | adj. & v. | 健康的；适合的；(使)适合
prize | n. | 奖品；奖赏
competition | n. | 比赛；竞争
event | n. | 大事；事件
Olympic | adj. | 奥林匹克的
the Olympic Games | phr. | 奥林匹克运动会
such | adj. | 这样的
fail | v. | 失败；不及格
practice | n. & v. | 练习, 实践
business | n. | 商业；生意；事务
so far | phr. | 到目前为止
cross | v. | 越过；穿过
channel | n. | 海峡；航道；频道；波段
come true | phr. | 实现
slow | v. | 放慢；减速
slow down | phr. | 减缓；减速
journey | n. | 旅程；旅行；路程
among | prep. | 在……当中
proud | adj. | 自豪的；骄傲的
be proud of | phr. | 以……自豪(兴奋)
speak highly of | phr. | 称赞
not only…but also | phr. | 不但……而且
pride | n. | 自豪；骄傲
unless | conj. | 除非；如果不
shot | n. | 尝试；努力；射击；(球赛中)击，射门，投篮，发射
truth | n. | 真理，真相，事实
pour | v. | 倒；灌；倾泻
waste | adj. & n. | 废弃的；无用的；垃圾；废物
dirty | adj. | 脏的
be afraid of | phr. | 害怕
member | n. | 成员
join | v. | 加入；参加
environment | n. | 环境
harm | v. | 损害；伤害
rubbish | n. | 垃圾；废物
collect | v. | 收集；搜集
whenever | conj. & adv. | 无论什么时候；随时
produce | v. | 产生；生产；制造
litter | n. & v. | 垃圾，废物；乱丢杂物
onto | prep. | 在…上面；到…上面
public | adj. | 公共的；公众的
cut down | phr. | 砍倒
protect | v. | 保护
tidy | adj. | 整洁的；整齐的
recycle | v. | 再循环；回收再用
contribution | n. | 贡献
make a contribution to | phr. | 贡献给；捐赠
suppose | v. | 猜想
do well in | phr. | 在……某方面干得好
nearby | adv. | 附近
mount | n. | …山；…峰
as soon as possible | phr. | 尽可能早地；尽快
except | prep. | 除…之外
province | n. | 省
rush | v. | 冲；奔跑
rail | n. | 轨道；铁路
railway | n. | (英)铁路
lively | adj. | 热闹的；有生气的
all kinds of | phr. | 各种各样的
comfortable | adj. | 舒适的；舒服的
keep doing something | phr. | 一直做某事
offer | v. & n. | 拿出；提供
magazine | n. | 杂志
practise | v. | 实践；练习
moving | adj. | 活动的；移动的；动的人
click | n. & v. | 咔哒声；发出咔哒声
pity | n. | 遗憾的事，可惜的事
score | n. & v. | (比赛)得分
own | adj. & v. | 自己的；拥有，所有
least | adj. & n. | 最小的；最少的；最少，最小
kid | n. | (口语)小伙子
Internet | n. | 因特网，互联网络
search | v. | 搜查，搜索
double | adj. & v. | 双重的，双倍的
type | v. | (用打字机或电脑)打字
press | v. | 按，压
enter | v. | 进入
button | n. | 按钮，纽扣
capital | n. | 首都
population | n. | 人口，人数
whether | conj. | 是否
edge | n. | 边，边缘
cool | adj. | (俚语)了不起
cost | v. | 价钱为，花费(金钱、时间等)
one-way | adj. | 单程的，单行的
flight | n. | 航班，飞行
book | v. | 预定(戏票、车票等)
round-trip | adj. | (车票等)来回的, 往返的
instruction | n. | 说明，须知
straight | adv. | 一直地
go straight along | phr. | 沿着…一直往前走
whom | pron. | 谁，哪个人(who的宾格)
think about | phr. | 考虑
chance | n. | 机会
sound | v. | 听起来
pool | n. | 水池，水坑
badly | adv. | 严重地，恶劣地
allow | v. | 允许，准许
deep | adj. | 深的
explore | v. | 探测，探险
however | conj. | 然而，可是
dead | adj. | 死的
society | n. | 社会
cover | v. | 覆盖
earth | n. | 陆地，大地，地球
clean up | phr. | 清除，收拾干净
ocean | n. | 海洋，大洋
pollute | v. | 污染，弄脏
group | n. | 组，群，团队
as long as | phr. | 长达…
deal | n. | (口语)协议，交易
shark | n. | 鲨鱼
on earth | phr. | 在地球上
attack | n. & v. | 攻击，袭击
Africa | n. | 非洲
South Africa | n. | 南非
warn | v. | 警告，提醒
appear | v. | 出现，露面
able | adj. | 有能力的，能干的
be able to | phr. | 能，会
spirit | n. | 精神
inventor | n. | 发明者，创造者
try out | phr. | 实验，尝试
pupil | n. | 小学生，学生
build | v. | 建立，建造，建设
at the age of | phr. | 在…岁时
print | v. | 印刷，印制；打印
track | n. | (火车等的)轨道，跑道
rush out | phr. | 冲出去
safety | n. | 安全
open up | phr. | 开设，开业，开放
lifetime | n. | 一生，终生
graduate | v. | 毕业
turn down | phr. | 关小，调低
clearly | adv. | 清楚地
wonder | v. | 惊奇，惊讶,(对...)感到怀疑；惊奇，惊讶(对. . . . )感到怀
worth | adj. | 有…的价值，值得；值得..的，有..的价值
confidence | n. | 信心，自信
merry | adj. | 愉快的；欢乐的
put up | phr. | 挂起，举起
circle | v. & n. | 环绕，绕行圆，圈子
stocking | n. | 长统袜
pet | n. | 宠爱的动物
as well | adv. | 又，同样地
single | adj. | 单个的，只有一个的
base | v. | 以…作根据，基于
base on | phr. | 以…(为)根据
real | adj. | 真正的，真实的
shy | adj. | 害羞的，腼腆的
hang | v. | 吊着，悬挂
dry | v. | 把…弄干，晒干
though | conj. | 虽然…，尽管…
even though | conj. | 即使…
