schoolyard | n. | 校园
librarian | n. | 图书管理员
sadly | adv. | 难过地；悲哀地
bookmark | n. | 书签
spoil | v. | 糟蹋,损坏(过去式与过去分词: spoilt)
surf | v. | 冲浪
surfing | n. | 冲浪运动
surfer | n. | 冲浪者
canoe | v. | 乘独木舟
large numbers of | phr. | 许多
mainland | n. | 大陆；本土
wherever | conj. & adv. | 无论在(到)哪里；在任何地方
neighbourhood | n. | 四邻；街坊；邻近
spit | v. | 吐痰；吐唾沫(过去式 spat)
dustbin | n. | 垃圾箱
riddle | n. | 谜语
headmaster | n. | (英)中小学校长
enjoyable | adj. | 愉快的；有趣的
scenery | n. | 风景；景色
scuba | n. | 水肺(潜水者用的水下呼吸器)
icon | n. | 图象符号，图标
ridge | n. | 山脉
tomb | n. | 坟墓
rim | n. | 边，缘
coral | n. | 珊瑚
reef | n. | 岩礁
coral reef | n. | 珊瑚礁
brochure | n. | 小册子
outdoor | adj. | 户外的，野外的
explorer | n. | 探测者，探险者
undersea | adj. | 海底的
amaze | v. | 使…大为惊讶，使惊
be amazed at | phr. | 对…感到惊讶
colourful | adj. | 颜色艳丽的
terrific | adj. | (口语)很棒的，极好的
sometime | adv. | (未来的)某时
alike | adj. | 相似的，相像的
watchtower | n. | 监视塔，瞭望塔
neatly | adv. | 整洁地
frighten | v. | 惊恐，吓唬
frightened | adj. | 受惊的，害怕的
telegraph | n. | 电报
invention | n. | 发明，创造
healthily | adv. | 健康地
frustrate | v. | 使沮丧，使失败
frustrated | adj. | 感到灰心丧气的
decorate | v. | 装饰，修饰
angel | n. | 天使，守护神
eve | n. | (节日或重大事件发生的)前夕
kind-hearted | adj. | 好心的
chimney | n. | 烟囱，烟筒
Turkey | n. | 土耳其
fireplace | n. | 壁炉
generosity | n. | 慷慨，豁达
barn | n. | 谷仓，堆物房；马房，牛舍
shepherd | n. | 牧羊人
wool | n. | 羊毛，绒线
Frenchman | n. | 法国人
traveller | n. | 旅行者
aeroplane | n. | 飞机
fossil | n. | 化石
Gobi Desert | n. | 戈壁沙漠
disappearance | n. | 消失
feather | n. | 羽毛
exit | n. | 出口
fragile | adj. | 易碎的
teapot | n. | 茶壶
drought | n. | 旱灾，干旱
farmland | n. | 农田
slipper | n. | (常用复数)拖鞋,便鞋
beeper | n. | 袖珍无线电传呼机,电话呼叫机
someday | adv. | (今后)有一天
printer | n. | 打印机
modem | n. | 调制解调器
spaceship | n. | 宇宙飞船
woolen | adj. | 羊毛的，毛织的
worm | n. | 虫，蠕虫
multiply | v. | (将…)乘…
multiply…by… | phr. | 乘以…
beg | v. | 恳求，乞求
beg one's pardon | phr. | 请原谅，对不起
secondhand | adj. | 二手的，用过的
diagram | n. | 图表
yen | n. | 元，日元
Canon | n. | 佳能(照相机牌名)
Peking opera | n. | 京剧
wag | v. | 摆动，摇动(尾巴等)
vet | n. | (口语)兽医
heal | v. | 使(伤、病)痊愈
injection | n. | 注射，打针
painful | adj. | 疼痛的，痛苦的
striker | n. | (足球)前锋
midfield | n. | 中场
midfield player | n. | 中场球员
spill | v. | 溢出，溅出，洒出(过去式 spilt)
necklace | n. | 项链
thief | n. | 贼
robber | n. | 强盗，盗贼
robbery | n. | 抢劫案，抢劫
steep | adj. | 陡峭的，险峻的
misty | adj. | 有雾的，雾大的
mist | n. | 雾
trap | v. | 使…陷入困境，设陷阱捕捉
anytime | adv. | 在任何时候
