lesson | n. | 课,功课
fun | n. | 有趣
when | conj. | 当…时
traffic | n. | 交通
bad | adj. | 坏的
matter | v. | (否定句,疑问句)要紧,有关系
on time | phr. | 准时
September | n. | 九月
happy | adj. | 快乐的,幸福的
best | adj. & adv. | 最好的(地)
wish | n. & v. | 祝愿,希望,想要
second | num. & adj. | 第二(的)
idea | n. | 主意,想法,意见
last | adj. & v. | 最后的,刚过去的；持续,耐久
given name | phr. | 名字
mean | v. | 表示...的意思,意味着
meaning | n. | 意思,意义,含义
important | adj. | 重要的,重大的
use | v. | 用,使用,运用
Ms | n. | 女士(用于婚姻状况不明的女名)
before | prep. & adv. | 在..之前,以前
never | adv. | 从来,决不
just | adv. | 刚刚,方才；仅仅,只有
third | num. & adj. | 第三的
afraid | adj. | 害怕的
live | v. | 居住
sound | n. & v. | 声音,听起来；声音
have to | phr. | 不得不,必须
time | n. | 次数
more | adv. | 更,更加
not…any more | phr. | 不再
laugh | v. & n. | 笑,大笑,笑声；(大)笑,发笑
waste | n. & v. | 浪费,废弃物
a waste of time | phr. | 浪费(白费)时间
fifth | num. & adj. | 第五(的)
trip | n. & v. | 旅游,旅行
field trip | phr. | 野外旅游
hometown | n. | 故乡,家乡
discuss | v. | 讨论,议论
fish | v. | 钓鱼
fishing | n. | 钓鱼
go fishing | phr. | 去钓鱼
east | n. & adj. | 东方(的),东部(的)
agree | v. | 同意,赞成
boating | n. | 划船
go boating | phr. | 去划船
maybe | adv. | 也许,大概
mountain | n. | 山,高山
hike | n. & v. | 远足,徒步旅行
hiking | n. | 徒步旅行
go hiking | phr. | 去徒步旅行
picnic | n. | 野餐
the day after tomorrow | phr. | 后天
top | n. | 顶部
problem | n. | 问题,难题
quick | adj. | 快的,迅速的
quickly | adv. | 快地,迅速地
start | v. | 开始,着手
trip over | phr. | (被...)绊倒
tired | adj. | 累,疲乏
hurry | v. | 赶快,慌忙
hurry up | phr. | 赶快
tie | v. | 捆,(系,栓)紧
die | v. | 死亡
city | n. | 城市
take | v. | 花费(时间),消耗
far | adj. & adv. | 远的(地)
beautiful | adj. | 美丽的,漂亮的
together | adv. | 一起
autumn | n. | 秋天,秋季
festival | n. & adj. | 节日(的),喜庆(的)
free | adj. | 自由的,空闲的
mooncake | n. | 月饼
sweet | adj. | 甜的,可爱的
inside | prep. | 在...里面
store | n. | (美)商店,大百货公司
come over | phr. | 过来,顺便来访
thanksgiving | n. | 感谢,感恩
Thanksgiving=Thanksgiving Day | phr. | 感恩节
get together | phr. | 相聚
October | n. | 十月
taste | v. | 品尝,有...味道
pie | n. | (用肉或水果做成的)馅饼
outside | prep. & adv. | 在...外
in the open air | phr. | 在户外,在野外
than | conj. | 比…,比较…
another | adj. & conj. | 另一个(的),又一个(的)
delicious | adj. | 美味的,可口的
better | adj. | (goo或well的比较级)更好的
twelfth | num. & adj. | 第十二(的)
celebrate | v. | 庆祝
wait | v. | 等,等待
feed | v. | 喂,饲养
cow | n. | 母牛,乳牛
interesting | adj. | 有趣的,有意思的
taxi | n. | 出租汽车
slow | adj. | 慢的,缓慢的
slowly | adv. | 缓慢地
grow | v. | 种植,生长
country | n. | 乡村,郊外
hear | v. | 听见,听说
agree with | phr. | 同意...意见(想法)符合,一致
corn | n. | (美)玉米,谷类庄稼
most | adj. & adv. & pron. | (many 或 much 的最高级)最多的；大部分,大多数
summer | n. | 夏天,夏季
winter | n. | 冬天,冬季
stop | v. | 停止,中止
pick | v. | 采摘(花,果实)
exciting | adj. | 令人兴奋的
town | n. | 城镇
star | n. | 星星,恒星
until | prep. & pron. | 到...为止
till | prep. & pron. | (直)到...为止
college | n. | 学院,高等专科学校
farming | n. | 农业,务农
somebody | pron. | 某人,有人
nobody | pron. | 没有人
shall | v. | (我,我们)将,会
zoo | n. | 动物园
nothing | pron. | 没有什么,没有东西
show | n. & v. | 演出,展览给...看,出示
gate | n. | 大门
land | n. & v. | 陆地,土地；登陆,上岸,降落
grass | n. | 草,草地
dangerous | adj. | 危险的
panda | n. | 熊猫
lion | n. | 狮子
elephant | n. | 象
monkey | n. | 猴子
tiger | n. | 老虎
deer |  | (pl.deer)；n. 鹿
snake | n. | 蛇
rabbit | n. | 兔子
duck | n. | 鸭
fox | n. | 狐狸
horse | n. | 马
bear | n. | 熊
should | v.aux. | (shall的过去式)将,会,应该
forest | n. | 森林
feel | v. | 觉得,感到
if | conj. | 假如,如果
fall | v. | 落下,跌倒
